X Y Z F R I
-0.875 -0.875 0 0.0125662 -0.0117094 0.00456066
-0.875 -0.625 0 0.00832105 -0.00832104 -1.23843e-05
-0.875 -0.375 0 0.00777146 -0.00717199 -0.00299302
-0.875 -0.125 0 0.00739287 -0.00505906 -0.00539077
-0.875 0.125 0 0.00702949 -0.00222985 -0.00666644
-0.875 0.375 0 0.00654057 0.000855644 -0.00648436
-0.875 0.625 0 0.00598286 0.00354754 -0.00481764
-0.875 0.875 0 0.00685091 0.00678873 -0.000920941
-0.625 -0.875 0 0.00831867 -0.00831866 -1.28968e-05
-0.625 -0.625 0 0.00448514 -0.00409956 -0.00181937
-0.625 -0.375 0 0.00474022 -0.00329644 -0.00340634
-0.625 -0.125 0 0.00449943 -0.00187726 -0.00408911
-0.625 0.125 0 0.00371795 -0.000262093 -0.0037087
-0.625 0.375 0 0.00323482 0.00113638 -0.00302865
-0.625 0.625 0 0.00288327 0.00217462 -0.00189322
-0.625 0.875 0 0.00400377 0.00387711 0.000999086
-0.375 -0.875 0 0.00776778 -0.00716673 -0.00299606
-0.375 -0.625 0 0.00474363 -0.00329078 -0.00341655
-0.375 -0.375 0 0.199386 -0.0856647 -0.180046
-0.375 -0.125 0 0.181299 -0.0425176 -0.176243
-0.375 0.125 0 0.00250415 -0.000155528 -0.00249932
-0.375 0.375 0 0.00233252 0.00126098 -0.0019623
-0.375 0.625 0 0.00243782 0.0021497 -0.00114967
-0.375 0.875 0 0.00346765 0.00304716 0.00165512
-0.125 -0.875 0 0.00739204 -0.00505004 -0.00539809
-0.125 -0.625 0 0.00452168 -0.00186057 -0.00412115
-0.125 -0.375 0 0.189989 -0.0382152 -0.186106
-0.125 -0.125 0 0.169487 -0.000703677 -0.169486
-0.125 0.125 0 0.0300092 0.0116183 -0.0276689
-0.125 0.375 0 0.0060755 0.00473398 -0.00380803
-0.125 0.625 0 0.00188854 0.00186547 -0.00029424
-0.125 0.875 0 0.00308312 0.00223919 0.00211936
0.125 -0.875 0 0.00703717 -0.00221661 -0.00667895
0.125 -0.625 0 0.00369324 -0.000269029 -0.00368343
0.125 -0.375 0 0.00386479 0.000431053 -0.00384068
0.125 -0.125 0 0.00333568 0.00112565 -0.00314001
0.125 0.125 0 0.0242358 0.0161314 -0.0180873
0.125 0.375 0 0.00553757 0.00513932 -0.00206204
0.125 0.625 0 0.00171073 0.00168913 0.000270977
0.125 0.875 0 0.00275913 0.00137502 0.00239209
0.375 -0.875 0 0.0065514 0.000869276 -0.00649348
0.375 -0.625 0 0.0032368 0.00113958 -0.00302956
0.375 -0.375 0 0.00285096 0.00157298 -0.00237776
0.375 -0.125 0 0.00234451 0.00178522 -0.00151977
0.375 0.125 0 0.00135203 0.00134985 -7.66328e-05
0.375 0.375 0 0.00170115 0.00169424 0.000153247
0.375 0.625 0 0.001755 0.00158702 0.000749262
0.375 0.875 0 0.00247714 0.00039165 0.00244599
0.625 -0.875 0 0.00599278 0.00355934 -0.00482125
0.625 -0.625 0 0.0028978 0.00218621 -0.00190202
0.625 -0.375 0 0.00253485 0.0022257 -0.00121313
0.625 -0.125 0 0.00226567 0.00219969 -0.000542824
0.625 0.125 0 0.00206207 0.00206054 7.9599e-05
0.625 0.375 0 0.00181399 0.00166886 0.000710963
0.625 0.625 0 0.00160149 0.00104485 0.0012137
0.625 0.875 0 0.00232882 -0.000688098 0.00222485
0.875 -0.875 0 0.00686252 0.00680082 -0.000918107
0.875 -0.625 0 0.00401604 0.00389048 0.000996371
0.875 -0.375 0 0.00347871 0.00306281 0.00164943
0.875 -0.125 0 0.00308905 0.00224644 0.00212032
0.875 0.125 0 0.00276276 0.00137751 0.00239486
0.875 0.375 0 0.00247831 0.000398767 0.00244601
0.875 0.625 0 0.00232815 -0.000684177 0.00222535
0.875 0.875 0 0.0035194 -0.00288268 0.00201899
