X Y Z F R I
-0.875 -0.875 0 988.327 988.327 0
-0.875 -0.625 0 988.327 988.327 0
-0.875 -0.375 0 988.327 988.327 0
-0.875 -0.125 0 988.327 988.327 0
-0.875 0.125 0 988.327 988.327 0
-0.875 0.375 0 988.327 988.327 0
-0.875 0.625 0 988.327 988.327 0
-0.875 0.875 0 988.327 988.327 0
-0.625 -0.875 0 988.327 988.327 0
-0.625 -0.625 0 988.327 988.327 0
-0.625 -0.375 0 988.327 988.327 0
-0.625 -0.125 0 988.327 988.327 0
-0.625 0.125 0 988.327 988.327 0
-0.625 0.375 0 988.327 988.327 0
-0.625 0.625 0 988.327 988.327 0
-0.625 0.875 0 988.327 988.327 0
-0.375 -0.875 0 988.327 988.327 0
-0.375 -0.625 0 988.327 988.327 0
-0.375 -0.375 0 9.88327 9.88327 0
-0.375 -0.125 0 9.88327 9.88327 0
-0.375 0.125 0 988.327 988.327 0
-0.375 0.375 0 988.327 988.327 0
-0.375 0.625 0 988.327 988.327 0
-0.375 0.875 0 988.327 988.327 0
-0.125 -0.875 0 988.327 988.327 0
-0.125 -0.625 0 988.327 988.327 0
-0.125 -0.375 0 9.88327 9.88327 0
-0.125 -0.125 0 9.88327 9.88327 0
-0.125 0.125 0 9.88327 9.88327 0
-0.125 0.375 0 9.88327 9.88327 0
-0.125 0.625 0 988.327 988.327 0
-0.125 0.875 0 988.327 988.327 0
0.125 -0.875 0 988.327 988.327 0
0.125 -0.625 0 988.327 988.327 0
0.125 -0.375 0 988.327 988.327 0
0.125 -0.125 0 988.327 988.327 0
0.125 0.125 0 9.88327 9.88327 0
0.125 0.375 0 9.88327 9.88327 0
0.125 0.625 0 988.327 988.327 0
0.125 0.875 0 988.327 988.327 0
0.375 -0.875 0 988.327 988.327 0
0.375 -0.625 0 988.327 988.327 0
0.375 -0.375 0 988.327 988.327 0
0.375 -0.125 0 988.327 988.327 0
0.375 0.125 0 988.327 988.327 0
0.375 0.375 0 988.327 988.327 0
0.375 0.625 0 988.327 988.327 0
0.375 0.875 0 988.327 988.327 0
0.625 -0.875 0 988.327 988.327 0
0.625 -0.625 0 988.327 988.327 0
0.625 -0.375 0 988.327 988.327 0
0.625 -0.125 0 988.327 988.327 0
0.625 0.125 0 988.327 988.327 0
0.625 0.375 0 988.327 988.327 0
0.625 0.625 0 988.327 988.327 0
0.625 0.875 0 988.327 988.327 0
0.875 -0.875 0 988.327 988.327 0
0.875 -0.625 0 988.327 988.327 0
0.875 -0.375 0 988.327 988.327 0
0.875 -0.125 0 988.327 988.327 0
0.875 0.125 0 988.327 988.327 0
0.875 0.375 0 988.327 988.327 0
0.875 0.625 0 988.327 988.327 0
0.875 0.875 0 988.327 988.327 0
