X Y Z
-0.916667 -1.1 0 
-0.916667 -1.3 0 
-0.916667 -1.5 0 
-0.916667 1.1 0 
-0.916667 1.3 0 
-0.916667 1.5 0 
1 -0.916667 0 
1.2 -0.916667 0 
1.4 -0.916667 0 
-1 -0.916667 0 
-1.2 -0.916667 0 
-1.4 -0.916667 0 
-0.75 -1.1 0 
-0.75 -1.3 0 
-0.75 -1.5 0 
-0.75 1.1 0 
-0.75 1.3 0 
-0.75 1.5 0 
1 -0.75 0 
1.2 -0.75 0 
1.4 -0.75 0 
-1 -0.75 0 
-1.2 -0.75 0 
-1.4 -0.75 0 
-0.583333 -1.1 0 
-0.583333 -1.3 0 
-0.583333 -1.5 0 
-0.583333 1.1 0 
-0.583333 1.3 0 
-0.583333 1.5 0 
1 -0.583333 0 
1.2 -0.583333 0 
1.4 -0.583333 0 
-1 -0.583333 0 
-1.2 -0.583333 0 
-1.4 -0.583333 0 
-0.416667 -1.1 0 
-0.416667 -1.3 0 
-0.416667 -1.5 0 
-0.416667 1.1 0 
-0.416667 1.3 0 
-0.416667 1.5 0 
1 -0.416667 0 
1.2 -0.416667 0 
1.4 -0.416667 0 
-1 -0.416667 0 
-1.2 -0.416667 0 
-1.4 -0.416667 0 
-0.25 -1.1 0 
-0.25 -1.3 0 
-0.25 -1.5 0 
-0.25 1.1 0 
-0.25 1.3 0 
-0.25 1.5 0 
1 -0.25 0 
1.2 -0.25 0 
1.4 -0.25 0 
-1 -0.25 0 
-1.2 -0.25 0 
-1.4 -0.25 0 
-0.0833333 -1.1 0 
-0.0833333 -1.3 0 
-0.0833333 -1.5 0 
-0.0833333 1.1 0 
-0.0833333 1.3 0 
-0.0833333 1.5 0 
1 -0.0833333 0 
1.2 -0.0833333 0 
1.4 -0.0833333 0 
-1 -0.0833333 0 
-1.2 -0.0833333 0 
-1.4 -0.0833333 0 
0.0833333 -1.1 0 
0.0833333 -1.3 0 
0.0833333 -1.5 0 
0.0833333 1.1 0 
0.0833333 1.3 0 
0.0833333 1.5 0 
1 0.0833333 0 
1.2 0.0833333 0 
1.4 0.0833333 0 
-1 0.0833333 0 
-1.2 0.0833333 0 
-1.4 0.0833333 0 
0.25 -1.1 0 
0.25 -1.3 0 
0.25 -1.5 0 
0.25 1.1 0 
0.25 1.3 0 
0.25 1.5 0 
1 0.25 0 
1.2 0.25 0 
1.4 0.25 0 
-1 0.25 0 
-1.2 0.25 0 
-1.4 0.25 0 
0.416667 -1.1 0 
0.416667 -1.3 0 
0.416667 -1.5 0 
0.416667 1.1 0 
0.416667 1.3 0 
0.416667 1.5 0 
1 0.416667 0 
1.2 0.416667 0 
1.4 0.416667 0 
-1 0.416667 0 
-1.2 0.416667 0 
-1.4 0.416667 0 
0.583333 -1.1 0 
0.583333 -1.3 0 
0.583333 -1.5 0 
0.583333 1.1 0 
0.583333 1.3 0 
0.583333 1.5 0 
1 0.583333 0 
1.2 0.583333 0 
1.4 0.583333 0 
-1 0.583333 0 
-1.2 0.583333 0 
-1.4 0.583333 0 
0.75 -1.1 0 
0.75 -1.3 0 
0.75 -1.5 0 
0.75 1.1 0 
0.75 1.3 0 
0.75 1.5 0 
1 0.75 0 
1.2 0.75 0 
1.4 0.75 0 
-1 0.75 0 
-1.2 0.75 0 
-1.4 0.75 0 
0.916667 -1.1 0 
0.916667 -1.3 0 
0.916667 -1.5 0 
0.916667 1.1 0 
0.916667 1.3 0 
0.916667 1.5 0 
1 0.916667 0 
1.2 0.916667 0 
1.4 0.916667 0 
-1 0.916667 0 
-1.2 0.916667 0 
-1.4 0.916667 0 
