X Y Z F R I
-2 -2 0 0.0245313 0.0243223 0.00319531
-2 -1.9 0 0.0243923 0.00564077 -0.0237311
-2 -1.8 0 0.0238314 -0.0224373 -0.00803152
-2 -1.7 0 0.023245 -0.0103148 0.0208311
-2 -1.6 0 0.0231182 0.0191261 0.0129862
-2 -1.5 0 0.0235667 0.0166579 -0.0166704
-2 -1.4 0 0.0240605 -0.0120099 -0.0208488
-2 -1.3 0 0.0236703 -0.0232336 0.00452579
-2 -1.2 0 0.0215789 -0.00349729 0.0212937
-2 -1.1 0 0.0178058 0.0160493 0.00771139
-2 -1 0 0.014988 0.00710356 -0.0131978
-2 -0.9 0 0.0184973 -0.0163768 -0.00859945
-2 -0.8 0 0.0259488 -0.0194332 0.0171958
-2 -0.7 0 0.0297914 0.00386564 0.0295395
-2 -0.6 0 0.0260301 0.023282 0.0116411
-2 -0.5 0 0.0207578 0.0139783 -0.0153459
-2 -0.4 0 0.0257802 -0.0140827 -0.0215939
-2 -0.3 0 0.0319045 -0.0318469 -0.00191621
-2 -0.2 0 0.033708 -0.0240356 0.0236329
-2 -0.1 0 0.0328375 -0.00120287 0.0328154
-2 6.38378e-16 0 0.0260333 0.015347 0.0210285
-2 0.1 0 0.0144357 0.014194 0.00263067
-2 0.2 0 0.00441172 -0.000919313 -0.00431488
-2 0.3 0 0.0196691 -0.0190141 0.00503371
-2 0.4 0 0.0359586 -0.0293278 0.0208064
-2 0.5 0 0.0413566 -0.0266114 0.0316576
-2 0.6 0 0.0361729 -0.0153469 0.032756
-2 0.7 0 0.022719 -0.00407997 0.0223496
-2 0.8 0 0.0057231 0.00498342 0.00281414
-2 0.9 0 0.0200806 0.0124598 -0.0157475
-2 1 0 0.0292493 0.014168 -0.0255889
-2 1.1 0 0.0307355 0.00926779 -0.0293049
-2 1.2 0 0.0286664 0.0044582 -0.0283176
-2 1.3 0 0.018843 8.48625e-05 -0.0188428
-2 1.4 0 0.0120467 -0.0104316 -0.00602537
-2 1.5 0 0.0236075 -0.0235719 -0.00129639
-2 1.6 0 0.0289898 -0.0286853 -0.00419057
-2 1.7 0 0.0257595 -0.025174 -0.00546116
-2 1.8 0 0.0204147 -0.0202845 -0.00230192
-2 1.9 0 0.0179357 -0.017795 0.0022426
-1.9 -2 0 0.0243923 0.00564077 -0.0237311
-1.9 -1.9 0 0.0247418 -0.0234578 -0.00786704
-1.9 -1.8 0 0.0245544 -0.0100797 0.0223901
-1.9 -1.7 0 0.0240383 0.02082 0.0120153
-1.9 -1.6 0 0.0237042 0.013951 -0.019164
-1.9 -1.5 0 0.0239664 -0.017231 -0.0166578
-1.9 -1.4 0 0.0245946 -0.0203997 0.0137385
-1.9 -1.3 0 0.024699 0.00728902 0.0235989
-1.9 -1.2 0 0.0232728 0.0232404 0.00122642
-1.9 -1.1 0 0.0198042 0.00762598 -0.018277
-1.9 -1 0 0.0154661 -0.0130651 -0.00827664
-1.9 -0.9 0 0.0158647 -0.00710994 0.0141823
-1.9 -0.8 0 0.0233638 0.0182922 0.0145348
-1.9 -0.7 0 0.0294992 0.0277454 -0.0100196
-1.9 -0.6 0 0.0275409 0.00735426 -0.0265409
-1.9 -0.5 0 0.0212631 -0.0174802 -0.0121063
-1.9 -0.4 0 0.0245094 -0.0173389 0.0173227
-1.9 -0.3 0 0.0307281 0.00692662 0.0299372
-1.9 -0.2 0 0.034048 0.0305942 0.014942
-1.9 -0.1 0 0.0348166 0.0331451 -0.0106583
-1.9 6.38378e-16 0 0.0288149 0.0156775 -0.0241767
-1.9 0.1 0 0.0185651 -0.00284373 -0.018346
-1.9 0.2 0 0.00466792 -0.00439175 -0.00158177
-1.9 0.3 0 0.0176163 0.0112597 0.0135482
-1.9 0.4 0 0.0347798 0.0298837 0.0177932
-1.9 0.5 0 0.0411923 0.0399318 0.0101121
-1.9 0.6 0 0.0379305 0.037928 -0.000441221
-1.9 0.7 0 0.0234998 0.0228683 -0.00541146
-1.9 0.8 0 0.00650003 -0.000304936 -0.00649287
-1.9 0.9 0 0.0201093 -0.0191739 -0.00606189
-1.9 1 0 0.0281222 -0.0281049 -0.000985233
-1.9 1.1 0 0.031939 -0.0313722 0.00599039
-1.9 1.2 0 0.0291232 -0.0280895 0.00769038
-1.9 1.3 0 0.0164712 -0.0144882 0.00783531
-1.9 1.4 0 0.0145242 0.00158893 0.014437
-1.9 1.5 0 0.0253717 0.00907347 0.0236938
