X Y Z F R I
-2 -2 0 0.961405 -0.471606 -0.837787
-2 -1.9 0 1.0112 -0.482659 -0.888577
-2 -1.8 0 1.04949 -0.529491 -0.906127
-2 -1.7 0 1.04882 -0.573189 -0.878336
-2 -1.6 0 1.00422 -0.579358 -0.820242
-2 -1.5 0 0.935919 -0.529171 -0.77196
-2 -1.4 0 0.903298 -0.446229 -0.785384
-2 -1.3 0 0.960685 -0.399934 -0.873481
-2 -1.2 0 1.0743 -0.446624 -0.97706
-2 -1.1 0 1.15798 -0.565217 -1.01067
-2 -1 0 1.16055 -0.672231 -0.946031
-2 -0.9 0 1.09207 -0.703902 -0.834945
-2 -0.8 0 1.00504 -0.670512 -0.748672
-2 -0.7 0 0.947907 -0.629464 -0.708733
-2 -0.6 0 0.920529 -0.620361 -0.680093
-2 -0.5 0 0.885328 -0.633997 -0.617943
-2 -0.4 0 0.814202 -0.634488 -0.510245
-2 -0.3 0 0.709863 -0.598988 -0.380944
-2 -0.2 0 0.598647 -0.536467 -0.265672
-2 -0.1 0 0.514289 -0.477979 -0.189814
-2 6.38378e-16 0 0.482977 -0.454339 -0.163838
-2 0.1 0 0.514289 -0.477979 -0.189814
-2 0.2 0 0.598647 -0.536467 -0.265672
-2 0.3 0 0.709863 -0.598988 -0.380944
-2 0.4 0 0.814202 -0.634488 -0.510245
-2 0.5 0 0.885328 -0.633997 -0.617943
-2 0.6 0 0.920529 -0.620361 -0.680093
-2 0.7 0 0.947907 -0.629464 -0.708733
-2 0.8 0 1.00504 -0.670512 -0.748672
-2 0.9 0 1.09207 -0.703902 -0.834945
-2 1 0 1.16055 -0.672231 -0.946031
-2 1.1 0 1.15798 -0.565217 -1.01067
-2 1.2 0 1.0743 -0.446624 -0.97706
-2 1.3 0 0.960685 -0.399934 -0.873481
-2 1.4 0 0.903298 -0.446229 -0.785384
-2 1.5 0 0.935919 -0.529171 -0.77196
-2 1.6 0 1.00422 -0.579358 -0.820242
-2 1.7 0 1.04882 -0.573189 -0.878336
-2 1.8 0 1.04949 -0.529491 -0.906127
-2 1.9 0 1.0112 -0.482659 -0.888577
-1.9 -2 0 1.0501 0.938488 -0.47112
-1.9 -1.9 0 0.998604 0.878688 -0.474465
-1.9 -1.8 0 0.951817 0.85077 -0.426785
-1.9 -1.7 0 0.953519 0.874559 -0.379927
-1.9 -1.6 0 0.998457 0.927425 -0.369864
-1.9 -1.5 0 1.05636 0.974232 -0.40836
-1.9 -1.4 0 1.08623 0.973861 -0.481124
-1.9 -1.3 0 1.05054 0.903879 -0.535394
-1.9 -1.2 0 0.949973 0.80168 -0.509663
-1.9 -1.1 0 0.851039 0.750589 -0.401103
-1.9 -1 0 0.849426 0.800907 -0.282969
-1.9 -0.9 0 0.947621 0.917922 -0.235381
-1.9 -0.8 0 1.05735 1.02261 -0.268822
-1.9 -0.7 0 1.12252 1.07369 -0.327466
-1.9 -0.6 0 1.15421 1.09759 -0.357064
-1.9 -0.5 0 1.20048 1.14686 -0.354765
-1.9 -0.4 0 1.29545 1.24533 -0.356851
-1.9 -0.3 0 1.42885 1.37362 -0.393404
-1.9 -0.2 0 1.56231 1.49308 -0.459897
-1.9 -0.1 0 1.65826 1.57339 -0.523695
-1.9 6.38378e-16 0 1.69288 1.60112 -0.549792
-1.9 0.1 0 1.65826 1.57339 -0.523695
-1.9 0.2 0 1.56231 1.49308 -0.459897
-1.9 0.3 0 1.42885 1.37362 -0.393404
-1.9 0.4 0 1.29545 1.24533 -0.356851
-1.9 0.5 0 1.20048 1.14686 -0.354765
-1.9 0.6 0 1.15421 1.09759 -0.357064
-1.9 0.7 0 1.12252 1.07369 -0.327466
-1.9 0.8 0 1.05735 1.02261 -0.268822
-1.9 0.9 0 0.947621 0.917922 -0.235381
-1.9 1 0 0.849426 0.800907 -0.282969
-1.9 1.1 0 0.851039 0.750589 -0.401103
-1.9 1.2 0 0.949973 0.80168 -0.509663
-1.9 1.3 0 1.05054 0.903879 -0.535394
-1.9 1.4 0 1.08623 0.973861 -0.481124
-1.9 1.5 0 1.05636 0.974232 -0.40836
-1.9 1.6 0 0.998457 0.927425 -0.369864
-1.9 1.7 0 0.953519 0.874559 -0.379927
-1.9 1.8 0 0.951817 0.85077 -0.426785
-1.9 1.9 0 0.998604 0.878688 -0.474465
-1.8 -2 0 0.939009 0.299199 0.890066
-1.8 -1.9 0 0.990936 0.269806 0.953498
-1.8 -1.8 0 1.04841 0.314091 1.00026
-1.8 -1.7 0 1.0506 0.370653 0.983045
-1.8 -1.6 0 1.00632 0.385633 0.929503
-1.8 -1.5 0 0.951733 0.352593 0.88401
-1.8 -1.4 0 0.924817 0.289721 0.878264
-1.8 -1.3 0 0.960594 0.234889 0.931434
-1.8 -1.2 0 1.05324 0.242531 1.02494
-1.8 -1.1 0 1.13909 0.334593 1.08884
-1.8 -1 0 1.15219 0.45748 1.05748
-1.8 -0.9 0 1.07706 0.522773 0.941681
-1.8 -0.8 0 0.957799 0.495437 0.819708
-1.8 -0.7 0 0.863476 0.421758 0.753466
-1.8 -0.6 0 0.819411 0.369087 0.73158
-1.8 -0.5 0 0.78272 0.356728 0.696703
-1.8 -0.4 0 0.704668 0.351429 0.610782
-1.8 -0.3 0 0.578793 0.315311 0.485366
-1.8 -0.2 0 0.437386 0.246312 0.361437
-1.8 -0.1 0 0.327888 0.177719 0.275548
-1.8 6.38378e-16 0 0.287296 0.149196 0.245519
-1.8 0.1 0 0.327888 0.177719 0.275548
-1.8 0.2 0 0.437386 0.246312 0.361437
-1.8 0.3 0 0.578793 0.315311 0.485366
-1.8 0.4 0 0.704668 0.351429 0.610782
-1.8 0.5 0 0.78272 0.356728 0.696703
-1.8 0.6 0 0.819411 0.369087 0.73158
-1.8 0.7 0 0.863476 0.421758 0.753466
-1.8 0.8 0 0.957799 0.495437 0.819708
-1.8 0.9 0 1.07706 0.522773 0.941681
-1.8 1 0 1.15219 0.45748 1.05748
-1.8 1.1 0 1.13909 0.334593 1.08884
-1.8 1.2 0 1.05324 0.242531 1.02494
-1.8 1.3 0 0.960594 0.234889 0.931434
-1.8 1.4 0 0.924817 0.289721 0.878264
-1.8 1.5 0 0.951733 0.352593 0.88401
-1.8 1.6 0 1.00632 0.385633 0.929503
-1.8 1.7 0 1.0506 0.370653 0.983045
-1.8 1.8 0 1.04841 0.314091 1.00026
-1.8 1.9 0 0.990936 0.269806 0.953498
-1.7 -2 0 1.06619 -1.04169 0.227262
-1.7 -1.9 0 1.03376 -0.992063 0.290649
-1.7 -1.8 0 0.958562 -0.921522 0.263889
