X Y Z F R I
-0.916667 -0.916667 0 379.268 -168.865 -339.601
-0.916667 -0.75 0 339.485 336.351 -46.026
-0.916667 -0.583333 0 457.725 419.331 -183.504
-0.916667 -0.416667 0 306.292 -52.2506 301.803
-0.916667 -0.25 0 461.195 457.781 56.0108
-0.916667 -0.0833333 0 385.839 375.739 87.7017
-0.916667 0.0833333 0 443.136 -58.1562 439.303
-0.916667 0.25 0 374.962 -95.4805 -362.602
-0.916667 0.416667 0 335.048 -99.7137 319.866
-0.916667 0.583333 0 478.178 471.887 77.3109
-0.916667 0.75 0 471.039 320.129 -345.536
-0.916667 0.916667 0 445.706 183.713 -406.083
-0.75 -0.916667 0 336.752 333.734 -44.9789
-0.75 -0.75 0 538.375 93.4389 -530.205
-0.75 -0.583333 0 486.857 486.631 -14.8138
-0.75 -0.416667 0 491.864 439.62 -220.6
-0.75 -0.25 0 386.66 341.384 181.559
-0.75 -0.0833333 0 430.785 -227.612 -365.744
-0.75 0.0833333 0 537.701 -537.513 -14.1875
-0.75 0.25 0 457.925 -421.052 -180.029
-0.75 0.416667 0 315.009 269.599 -162.934
-0.75 0.583333 0 464.517 23.8618 463.904
-0.75 0.75 0 488.852 294.521 -390.171
-0.75 0.916667 0 491.593 -386.191 -304.17
-0.583333 -0.916667 0 466.106 424.445 -192.617
-0.583333 -0.75 0 470.324 468.988 -35.4291
-0.583333 -0.583333 0 607.859 383.238 -471.827
-0.583333 -0.416667 0 426.353 367.751 215.722
-0.583333 -0.25 0 440.893 319.6 -303.714
-0.583333 -0.0833333 0 400.851 365.686 -164.18
-0.583333 0.0833333 0 418.451 -333.594 252.619
-0.583333 0.25 0 378.881 223.488 305.949
-0.583333 0.416667 0 395.355 365.902 149.738
-0.583333 0.583333 0 473.511 220.213 419.189
-0.583333 0.75 0 326.426 -326.334 7.73948
-0.583333 0.916667 0 491.081 237.637 -429.755
-0.416667 -0.916667 0 315.098 -36.7288 312.95
-0.416667 -0.75 0 512.327 458.413 -228.771
-0.416667 -0.583333 0 473.978 439.7 176.973
-0.416667 -0.416667 0 423.847 373.045 -201.206
-0.416667 -0.25 0 303.956 192.877 234.92
-0.416667 -0.0833333 0 419.603 295.185 -298.215
-0.416667 0.0833333 0 421.615 295.266 -300.961
-0.416667 0.25 0 414.205 80.0891 406.388
-0.416667 0.416667 0 360.42 1.80384 -360.415
-0.416667 0.583333 0 554.853 -526.177 -176.067
-0.416667 0.75 0 513.524 -501.707 -109.53
-0.416667 0.916667 0 409.255 -28.581 -408.256
-0.25 -0.916667 0 485.301 482.467 52.3735
-0.25 -0.75 0 421.722 373.068 196.648
-0.25 -0.583333 0 597.289 459.704 -381.347
-0.25 -0.416667 0 390.409 310.338 236.875
-0.25 -0.25 0 453.371 452.303 -31.0998
-0.25 -0.0833333 0 478.987 171.788 447.121
-0.25 0.0833333 0 501.199 405.997 -293.883
-0.25 0.25 0 497.981 198.416 -456.746
-0.25 0.416667 0 399.135 391.382 -78.2908
-0.25 0.583333 0 486.903 -471.171 -122.772
-0.25 0.75 0 473.016 -29.6655 472.085
-0.25 0.916667 0 502.453 445.439 232.472
-0.0833333 -0.916667 0 423.248 412.472 94.9005
-0.0833333 -0.75 0 422.665 -185.495 -379.786
-0.0833333 -0.583333 0 598.015 506.721 -317.579
-0.0833333 -0.416667 0 559.002 395.139 -395.41
-0.0833333 -0.25 0 372.201 97.4966 359.205
-0.0833333 -0.0833333 0 460.696 277.986 367.375
-0.0833333 0.0833333 0 391.082 -86.5059 381.394
-0.0833333 0.25 0 362.037 185.071 -311.158
-0.0833333 0.416667 0 456.716 57.8929 -453.032
-0.0833333 0.583333 0 461.913 259.008 -382.464
-0.0833333 0.75 0 400.033 -111.41 384.206
-0.0833333 0.916667 0 359.048 300.089 -197.134
0.0833333 -0.916667 0 442.298 -25.3664 441.57
0.0833333 -0.75 0 503.261 -502.609 -25.6214
0.0833333 -0.583333 0 204.551 -178.99 99.0138
0.0833333 -0.416667 0 563.809 401.509 -395.817
0.0833333 -0.25 0 506.231 339.657 -375.371
0.0833333 -0.0833333 0 409.89 -79.3194 402.142
0.0833333 0.0833333 0 490.136 67.4115 485.478
0.0833333 0.25 0 571.965 -478.875 312.767
0.0833333 0.416667 0 336.517 305.263 -141.626
0.0833333 0.583333 0 551.248 68.5254 -546.972
0.0833333 0.75 0 526.838 205.656 -485.04
0.0833333 0.916667 0 363.598 341.145 125.792
0.25 -0.916667 0 388.485 -65.3567 -382.948
0.25 -0.75 0 443.998 -392.391 -207.76
0.25 -0.583333 0 443.304 400.269 190.534
0.25 -0.416667 0 411.088 274.257 306.229
0.25 -0.25 0 639.355 333.239 -545.643
0.25 -0.0833333 0 552.319 438.814 -335.407
0.25 0.0833333 0 358.191 -218.464 283.857
0.25 0.25 0 586.019 -211.37 546.572
0.25 0.416667 0 458.805 -342.559 305.214
0.25 0.583333 0 471.258 434.736 -181.903
0.25 0.75 0 618.166 61.2518 -615.124
0.25 0.916667 0 549.176 -64.1823 -545.412
0.416667 -0.916667 0 326.174 -77.5881 316.812
0.416667 -0.75 0 328.541 273.059 -182.697
0.416667 -0.583333 0 488.515 474.217 117.328
0.416667 -0.416667 0 436.311 50.4586 -433.383
0.416667 -0.25 0 388.395 363.595 -136.564
0.416667 -0.0833333 0 480.414 63.0307 -476.261
0.416667 0.0833333 0 352.573 305.619 -175.796
0.416667 0.25 0 582.995 -497.247 304.35
0.416667 0.416667 0 629.034 -372.936 506.559
0.416667 0.583333 0 447.271 -446.771 -21.133
0.416667 0.75 0 310.376 305.033 -57.3415
0.416667 0.916667 0 440.171 -31.8242 -439.019
0.583333 -0.916667 0 481.1 478.036 54.2063
0.583333 -0.75 0 412.916 -3.68563 412.9
0.583333 -0.583333 0 466.438 250.409 393.522
0.583333 -0.416667 0 581.167 -542.616 -208.142
0.583333 -0.25 0 513.25 -504.32 -95.3222
0.583333 -0.0833333 0 404.783 272.595 -299.234
0.583333 0.0833333 0 470.646 78.005 -464.137
0.583333 0.25 0 390.62 364.094 -141.492
0.583333 0.416667 0 455.239 -453.53 -39.4114
0.583333 0.583333 0 531.764 -512.034 143.505
0.583333 0.75 0 512.083 -477.475 -185.056
0.583333 0.916667 0 358.242 346.133 92.3551
0.75 -0.916667 0 479.41 324.109 -353.252
0.75 -0.75 0 506.961 306.5 -403.815
0.75 -0.583333 0 269.769 -266.737 40.3313
0.75 -0.416667 0 472.778 -457.468 -119.344
0.75 -0.25 0 486.181 9.24376 486.093
0.75 -0.0833333 0 416.772 -64.4777 411.754
0.75 0.0833333 0 517.443 243.227 -456.714
0.75 0.25 0 587.41 76.9424 -582.349
0.75 0.416667 0 349.814 347.095 -43.5332
0.75 0.583333 0 454.845 -435.987 -129.612
0.75 0.75 0 494.65 -486.383 90.0549
0.75 0.916667 0 400.012 -228.423 -328.378
0.916667 -0.916667 0 445.876 184.205 -406.047
0.916667 -0.75 0 490.779 -388.632 -299.714
0.916667 -0.583333 0 467.942 232.498 -406.097
0.916667 -0.416667 0 412.963 -46.772 -410.306
0.916667 -0.25 0 494.761 424.014 254.952
0.916667 -0.0833333 0 341.177 272.619 -205.135
0.916667 0.0833333 0 332.843 313.193 112.669
0.916667 0.25 0 546.114 -86.873 -539.16
0.916667 0.416667 0 460.327 -49.5784 -457.65
0.916667 0.583333 0 355.5 339.831 104.378
0.916667 0.75 0 404.384 -232.662 -330.748
0.916667 0.916667 0 420.986 -378.369 -184.569
