X Y Z F R I
-0.916667 -0.916667 0 45362.8 45352.3 -977.314
-0.916667 -0.75 0 46375.8 45906.9 6578.44
-0.916667 -0.583333 0 26075.7 26006.5 1897.72
-0.916667 -0.416667 0 56544.3 55232.1 -12110.5
-0.916667 -0.25 0 50029.7 49951 -2804.82
-0.916667 -0.0833333 0 56987 56888.1 3356.03
-0.916667 0.0833333 0 61975.2 58238.2 21195.1
-0.916667 0.25 0 62358.8 62082.2 -5866.88
-0.916667 0.416667 0 58666.1 56166.5 16942.2
-0.916667 0.583333 0 60043 57053.5 -18709.9
-0.916667 0.75 0 39796 36232.5 16459.8
-0.916667 0.916667 0 53896.6 53846.6 -2322.33
-0.75 -0.916667 0 86589.7 85797.4 11686.6
-0.75 -0.75 0 92501 92291 -6229.8
-0.75 -0.583333 0 89199.9 89199.4 308.748
-0.75 -0.416667 0 110207 109996 6804.04
-0.75 -0.25 0 98289.6 98177.5 -4692.77
-0.75 -0.0833333 0 97790.9 97765.5 -2230.84
-0.75 0.0833333 0 94164.1 94157.1 1152.18
-0.75 0.25 0 90379.7 90369 -1391.81
-0.75 0.416667 0 95167.6 95051 -4710.12
-0.75 0.583333 0 95478.4 95302.5 5793.17
-0.75 0.75 0 104965 104961 992.359
-0.75 0.916667 0 75529.8 74769 10693.5
-0.583333 -0.916667 0 84924.1 84920.2 812.963
-0.583333 -0.75 0 88435.9 88368 -3465.63
-0.583333 -0.583333 0 92686.3 92053.2 10815.5
-0.583333 -0.416667 0 94501 94488.2 1553.33
-0.583333 -0.25 0 99274.6 99273.4 -500.566
-0.583333 -0.0833333 0 102539 102528 1486.52
-0.583333 0.0833333 0 96808.1 95818 13810.2
-0.583333 0.25 0 102985 102807 6055.17
-0.583333 0.416667 0 96906.3 96904.5 590.364
-0.583333 0.583333 0 97401.5 97401.1 -283.517
-0.583333 0.75 0 102978 102112 13324
-0.583333 0.916667 0 91798.6 91645.6 5298.15
-0.416667 -0.916667 0 90015.6 89614.3 -8491.13
-0.416667 -0.75 0 98788.6 98771.2 -1857.08
-0.416667 -0.583333 0 96359.3 96357 673.462
-0.416667 -0.416667 0 102075 102072 801.774
-0.416667 -0.25 0 97028.2 97027.8 -289.395
-0.416667 -0.0833333 0 102929 102909 -2036.61
-0.416667 0.0833333 0 99253.8 99253.7 83.489
-0.416667 0.25 0 96973.9 96966.2 1224.2
-0.416667 0.416667 0 96328.3 96325.8 -694.402
-0.416667 0.583333 0 97782.4 97709.3 -3778.95
-0.416667 0.75 0 96439.9 96439.7 212.746
-0.416667 0.916667 0 97905.3 97047.8 -12929.1
-0.25 -0.916667 0 100408 98542.2 -19267.8
-0.25 -0.75 0 98760 98743.4 1810.08
-0.25 -0.583333 0 98651.9 98641.2 1453.96
-0.25 -0.416667 0 92389.6 92010.8 8357.1
-0.25 -0.25 0 100581 100580 450.63
-0.25 -0.0833333 0 97927.3 97919.8 -1218.82
-0.25 0.0833333 0 99361.5 99358.3 -792.126
-0.25 0.25 0 97296 97293.6 676.669
-0.25 0.416667 0 98560.3 98459.8 -4450.29
-0.25 0.583333 0 95245.9 95243.9 625.963
-0.25 0.75 0 96520.3 96470 3115.62
-0.25 0.916667 0 95874.2 94991.9 -12977.4
-0.0833333 -0.916667 0 99971.3 99971.3 72.4379
-0.0833333 -0.75 0 102633 102448 -6154.46
-0.0833333 -0.583333 0 101022 101021 356.117
-0.0833333 -0.416667 0 96585.5 96582.1 -810.004
-0.0833333 -0.25 0 98430.4 98288.2 5289.84
-0.0833333 -0.0833333 0 99934.6 99910.9 2175.77
-0.0833333 0.0833333 0 98702 98699.8 -657.068
-0.0833333 0.25 0 97682.1 97645.4 -2677.43
-0.0833333 0.416667 0 96559.1 96556.4 -720.909
-0.0833333 0.583333 0 97481.5 97477.1 -920.722
-0.0833333 0.75 0 99600 99539.5 3472.16
-0.0833333 0.916667 0 86790.8 86775.8 -1616.87
